No,Title,Author,SamuraiLink,PublicationMedia,PublicationDate,DOI
51,Magnetization Reversal Process in Pr-Cu Infiltrated Nd-Fe-B Nanocrystalline Magnet Investigated by Small-Angle Neutron Scattering,"Tetsuro Ueno, Kotaro Saito, Masao Yano, Masashi Harada, Tetsuya Shoji, Noritsugu Sakuma, Akira Manabe, Akira Kato, Uwe Keiderling, Kanta Ono",,"IEEE Transactions on Magnetics 50, 2103104 (2014)",2014/11/1 0:00,10.1109/TMAG.2014.2332759
52,Coverage-dependent magnetic properties of Ni ultrathin films on Pd(001) investigated using X-ray magnetic circular dichroism,"Tetsuro Ueno, Masahiro Sawada, Hisashi Furuta, Yusuke Kishimizu, Hirofumi Namatame, Masaki Taniguchi",,"Applied Physics Express 7, 063006 (2014)",2014/5/1 0:00,10.7567/APEX.7.063006
53,CALPHAD 法における異なる侵入型副格子モデル間のパラメーター変換,"阿部太一, 橋本清",,日本金属学会誌　78[7] (2014) 274-279,2014/7/1 0:00,10.2320/jinstmet.J2014003
54,Relations between Parameters in Different Sublattice Configurations for CALPHAD-Type Thermodynamic Assessments,"T. Abe, K. Hashimoto, R. Sahara, C. Kocer",,MATERIALS TRANSACTIONS. 55[11] (2014) 1683-1688,2014/10/18 0:00,10.2320/matertrans.M2014252
55,計算材料科学の進展と展望,"小野寺秀博, 阿部太一, 下野昌人, 小山敏幸",,鉄と鋼　100[10] (2014) 1207-1219,2014/10/1 0:00,10.2355/tetsutohagane.100.1207
56,計算工学による組織・特性予測技術に関する将来展望,小山敏幸,,ふぇらむ　19[9] 2014 635-639,2014/8/1 0:00,
57,3D材料組織・特性解析の基礎と応用,"新家光雄(編), 足立吉隆, 小山敏幸(著)",,"内田老鶴圃, 2014",2014/5/1 0:00,
58,Current status of research and development toward permanent magnets free from critical elements,広沢哲,,"JOURNAL OF THE MAGNETIC SOCIETY OF JAPAN(日本応用磁気学会誌), 2015 Volume 39 Issue 3 Pages 85-95",2015/5/1 0:00,10.3379/msjmag.1504R004
59,永久磁石材料開発における元素戦略的アプローチと現状,広沢哲,,"工業材料, 63(7), 57-64, 2015",2015/7/1 0:00,
60,Magnetic domain evolution in Nd-Fe-B:Cu sintered magnet visualized by scanning hard X-ray microprobe,"Motohiro Suzuki, Akira Yasui, Yoshinori Kotani, Naruki Tsuji, Tetsuya Nakamura, Satoshi Hirosawa",,"ACTA MATERIALIA  VOL.106   ページ: 155-161, 2016",2016/1/1 0:00,10.1016/j.actamat.2016.01.011
61,Formation of non-ferromagnetic grain boundary phase in a Ga-doped Nd-rich Nd-Fe-B sintered magnet,"T.T. Sasaki, T. Ohkubo, Y. Takada, T. Sato, A. Kato, Y. Kaneko, K. Hono",,"Scripta Materialia, 巻113, ページ218-221, 2016",2015/11/21 0:00,10.1016/j.scriptamat.2015.10.042
62,Micromagnetic simulation of the orientation dependence of grain boundary properties on the coercivity of Nd-Fe-B sintered magnets,"J. Fujisaki, A. Furuya, Y. Uehara, K. Shimizu, T. Ataka, T. Tanaka, H. Oshima, T. Ohkubo, S. Hirosawa, K. Hono",,"AIP Advances, 巻6, 号‏,5 記事番号056028, 2016",2016/3/21 0:00,10.1063/1.4944773
63,Strain measurements from Nd2Fe14B grains in sintered magnets using artificial moiré fringes,"Y. Murakami, T.T. Sasaki, T. Ohkubo, K. Hono,",,"ACTA MATERIALIA. 101, 101-106 (2015)",2015/12/1 0:00,10.1016/j.actamat.2015.08.058
64,Microstructure and temperature dependent of coercivity of hot-deformed Nd–Fe–B magnets diffusion processed with Pr–Cu alloy,"H. Sepehri-Amin, Lihua Liu, T. Ohkubo, M. Yano, T. Shoji, A. Kato, T. Schrefl, K. Hono,",,"ACTA MATERIALIA. 99, 297-306 (2015)",2015/10/15 0:00,10.1016/j.actamat.2015.08.013
65,Dy を使わない Nd-Fe-B 磁石の開発動向,宝野和博,,"まてりあ 54(7), 351-355 (2015)",2015/7/1 0:00,10.2320/materia.54.351
66,Rare-Earth Lean Hard Magnet Compound NdFe12N,"Y. Hirayama, T. Miyake, K. Hono,",,"JOM 67, 1344-1349 (2015)",2015/6/1 0:00,10.1007/s11837-015-1421-9 
